timestamp,VWAP_bfly,VWAP_bfnx,VWAP_bnus,VWAP_btrx,VWAP_cbse,VWAP_gmni,VWAP_itbi,VWAP_krkn,VWAP_lmax,VWAP_okcn,VWAP_stmp,Global_mean
2021-02-24 00:00:00,48006.99,47778.97,47846.76,47861.25,47945.34,47981.71,47772.26,47698.31,47880.96,47954.73,47944.26,47879.230909090904
2021-02-24 01:00:00,49607.92,49441.59,49196.19,49343.27,49317.2,49458.08,49509.7,49179.03,49250.83,49422.82,49220.3,49358.81181818182
2021-02-24 02:00:00,50196.68,50237.01,50200.41,50264.13,50248.89,50268.26,50260.29,50214.5,50227.85,50218.79,50283.56,50238.215454545454
2021-02-24 03:00:00,50948.0,50608.44,50523.29,50528.68,50498.14,50494.4,50533.8,50537.04,50458.46,50435.24,50472.64,50548.920909090906
2021-02-24 04:00:00,50892.81,50889.74,50900.8,50914.28,50942.65,50934.95,51019.75,50917.06,50851.64,51023.2,50987.94,50934.074545454554
2021-02-24 05:00:00,NO TRADES,50344.15,50383.99,50537.36,50513.99,50528.6,50416.28,50421.09,50473.96,50399.46,50440.12,50445.9
2021-02-24 06:00:00,49978.51,49713.51,50046.49,50033.77,49982.47,49935.14,49907.75,49916.11,50061.81,49940.21,49939.78,49950.50454545455
2021-02-24 07:00:00,49680.1,49899.14,49861.58,50032.96,49959.62,50034.86,49944.96,49994.27,49996.28,50030.4,49974.24,49946.21909090909
2021-02-24 08:00:00,50144.21,50629.72,50559.89,50587.22,50541.09,50476.88,50600.27,50545.22,50552.86,50482.66,50594.39,50519.49181818182
2021-02-24 09:00:00,50884.02,50887.44,50842.08,50947.53,50901.0,50901.64,51014.43,50987.74,50934.15,51005.57,50902.71,50928.02818181819
2021-02-24 10:00:00,50536.6,50480.38,50515.87,50665.39,50523.89,50494.32,50588.05,50643.54,50514.77,50564.54,50590.39,50556.15818181818
2021-02-24 11:00:00,50474.18,50494.05,50475.34,50556.42,50498.46,50446.88,50500.8,50523.5,50505.69,50556.76,50480.34,50501.1290909091
2021-02-24 12:00:00,51228.62,50976.88,50870.86,50907.73,50935.79,50932.91,50956.07,50864.1,50918.64,50921.93,50947.57,50951.00909090909
2021-02-24 13:00:00,49681.73,49701.26,49783.08,49839.74,49811.47,49750.22,49790.03,49743.21,49827.04,49953.17,49893.77,49797.70181818181
2021-02-24 14:00:00,49266.09,49233.19,49251.72,49311.93,49293.35,49282.04,49260.07,49223.09,49274.41,49345.87,49236.2,49270.72363636363
2021-02-24 15:00:00,48785.15,49011.13,49258.31,49280.56,49224.86,49249.51,49062.98,49217.79,49324.91,49288.11,49221.75,49175.00545454546
2021-02-24 16:00:00,49645.48,49734.68,49765.88,49805.94,49748.95,49720.09,49749.26,49749.96,49755.52,49824.68,49757.7,49750.74
2021-02-24 17:00:00,49714.25,49788.34,49808.54,49786.38,49813.53,49843.67,49815.87,49842.35,49845.11,49817.8,49847.05,49811.17181818182
2021-02-24 18:00:00,49602.44,49795.62,49795.33,49797.74,49790.61,49796.55,49791.77,49813.1,49796.55,49797.71,49838.08,49783.22727272727
2021-02-24 19:00:00,49191.6,49214.86,49355.11,49257.82,49259.86,49204.73,49411.33,49230.39,49317.07,49343.11,49337.14,49283.9109090909
2021-02-24 20:00:00,48991.42,48895.91,48906.48,48907.01,48922.87,48952.99,48880.35,48964.87,48952.61,48851.21,48927.91,48923.057272727274
2021-02-24 21:00:00,48404.53,48440.91,48485.98,48486.39,48476.88,48526.7,48526.43,48499.38,48518.46,48451.59,48509.78,48484.27545454546
2021-02-24 22:00:00,48270.6,48531.1,48549.93,48566.46,48579.18,48650.57,48497.26,48540.35,48645.53,48543.5,48580.63,48541.373636363634
2021-02-24 23:00:00,49610.56,49385.75,49399.63,49488.22,49428.97,49457.5,49493.1,49459.91,49423.47,49568.86,49504.55,49474.59272727273
